experiment,group,metric,n,k,rate,rate_pct,ci95_lo,ci95_hi,ci95_lo_pct,ci95_hi_pct
Exp06_Noise,S3_noise0,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S3_noise0,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S3_noise0.01,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S3_noise0.01,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S3_noise0.02,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S3_noise0.02,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S3_noise0.05,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S3_noise0.05,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S3_noise0.1,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S3_noise0.1,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0.01,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0.01,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0.02,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0.02,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0.05,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0.05,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0.1,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S4_noise0.1,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S5_noise0,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S5_noise0,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S5_noise0.01,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S5_noise0.01,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S5_noise0.02,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
