experiment,group,metric,n,mean,sd,median,min,max,ci95_lo,ci95_hi
Exp06_Noise,S3_noise0.1,max_rel_err,10,0.12221677179562418,0.07477790860207903,0.114121105920604,0.00886400185486647,0.22926347272929,0.06872387846176205,0.17570966512948633
Exp06_Noise,S3_noise0.1,test_rmse,10,0.10500506588371247,0.005456333638196778,0.1043489923600265,0.0972119489953888,0.11334026085981,0.10110183993425192,0.10890829183317302
Exp06_Noise,S3_noise0.1,pruned_n,10,3.1,0.31622776601683794,3.0,3.0,4.0,2.87378428371459,3.32621571628541
Exp06_Noise,S4_noise0,max_rel_err,10,1.1352030426792226e-14,1.0258262825276728e-14,7.216449660063514e-15,2.08166817117217e-15,3.03923552991137e-14,4.013711271287059e-15,1.8690349582297394e-14
Exp06_Noise,S4_noise0,test_rmse,10,1.4967716207072359e-15,6.309390709712935e-16,1.5967446101529049e-15,6.5508706265026e-16,2.26341760374803e-15,1.0454249990300535e-15,1.948118242384418e-15
Exp06_Noise,S4_noise0,pruned_n,10,5.0,0.0,5.0,5.0,5.0,5.0,5.0
Exp06_Noise,S4_noise0.01,max_rel_err,10,0.003792642566476633,0.004085770673178933,0.0017454972456588248,0.000984769239159492,0.0127549814637261,0.0008698582991334548,0.006715426833819812
Exp06_Noise,S4_noise0.01,test_rmse,10,0.009640488800462145,0.0005449161346497185,0.009685635013987514,0.00881279763932772,0.0105587859948101,0.009250679280355997,0.010030298320568294
Exp06_Noise,S4_noise0.01,pruned_n,10,5.0,0.0,5.0,5.0,5.0,5.0,5.0
Exp06_Noise,S4_noise0.02,max_rel_err,10,0.008721678256776527,0.008149682424506182,0.006204393653697695,0.00154742177086323,0.0264325295247497,0.0028917466527942307,0.014551609860758824
Exp06_Noise,S4_noise0.02,test_rmse,10,0.02024223774668611,0.0011176340997173992,0.0205731696324365,0.0186781408940684,0.0217276088216924,0.019442730475085206,0.02104174501828701
Exp06_Noise,S4_noise0.02,pruned_n,10,5.0,0.0,5.0,5.0,5.0,5.0,5.0
Exp06_Noise,S4_noise0.05,max_rel_err,10,0.014103392734795018,0.010310136090566222,0.0114366439924406,0.0035991602585092,0.0359619382960306,0.006727965680728845,0.02147881978886119
Exp06_Noise,S4_noise0.05,test_rmse,10,0.05073738258180392,0.004397849814475207,0.050756280658862896,0.0438974302000349,0.0573169136211848,0.04759135034551954,0.0538834148180883
Exp06_Noise,S4_noise0.05,pruned_n,10,5.0,0.0,5.0,5.0,5.0,5.0,5.0
Exp06_Noise,S4_noise0.1,max_rel_err,10,0.03636653167414219,0.028059395601881126,0.0242831456696043,0.00869573646858079,0.0971154240933433,0.016294049252477672,0.056439014095806705
Exp06_Noise,S4_noise0.1,test_rmse,10,0.1032085856926104,0.004460390585954631,0.1033842949911765,0.0976664956064068,0.110433328499107,0.10001781448354238,0.10639935690167843
Exp06_Noise,S4_noise0.1,pruned_n,10,5.0,0.0,5.0,5.0,5.0,5.0,5.0
Exp06_Noise,S5_noise0,max_rel_err,10,0.2808069259576042,0.28738715571078827,0.1801787642831185,0.0156588959793226,1.0,0.07522253942754542,0.486391312487663
Exp06_Noise,S5_noise0,test_rmse,10,0.3057955923857677,0.011667045587761294,0.3063955276759265,0.288532170806241,0.326654805586843,0.2974494907520819,0.3141416940194535
Exp06_Noise,S5_noise0,pruned_n,10,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Exp06_Noise,S5_noise0.01,max_rel_err,10,0.330193271197586,0.29111593946263575,0.213982339313952,0.11405257498609,1.0,0.12194147345970602,0.5384450689354661
Exp06_Noise,S5_noise0.01,test_rmse,10,0.30902437566493807,0.007824121293590884,0.306903171888967,0.298021897773568,0.321560501982823,0.3034273364642774,0.31462141486559875
Exp06_Noise,S5_noise0.01,pruned_n,10,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Exp06_Noise,S5_noise0.02,max_rel_err,10,0.3065044754622615,0.29764851543076015,0.2184672366978705,0.0585471608681474,1.0,0.09357955439169025,0.5194293965328327
Exp06_Noise,S5_noise0.02,test_rmse,10,0.3271743654551521,0.013539710457713036,0.327574735978833,0.305779722670686,0.350058476646201,0.3174886400741445,0.3368600908361597
Exp06_Noise,S5_noise0.02,pruned_n,10,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Exp06_Noise,S5_noise0.05,max_rel_err,10,0.25524697760833076,0.1783627922155839,0.1943976849888715,0.0357682787462182,0.578508755223993,0.1276539224255495,0.382840032791112
Exp06_Noise,S5_noise0.05,test_rmse,10,0.35151606187467854,0.010125092144334305,0.3508045835827015,0.338367583408709,0.374176524024436,0.34427300728546073,0.35875911646389635
Exp06_Noise,S5_noise0.05,pruned_n,10,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Exp06_Noise,S5_noise0.1,max_rel_err,10,0.32734471601246706,0.32033213127747034,0.1917776484999195,0.00684130407626027,1.0,0.0981929136931651,0.556496518331769
Exp06_Noise,S5_noise0.1,test_rmse,10,0.3851899683480251,0.012768986863074863,0.3822272377275525,0.368370949875996,0.410887740462807,0.3760555854130501,0.3943243512830001
Exp06_Noise,S5_noise0.1,pruned_n,10,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Exp07_OperatorAblation,A,test_rmse,15,13160.308999310279,16938.468367234087,7788.01331102744,3313.29059229572,55020.4705738867,3780.0978751594685,22540.520123461087
Exp07_OperatorAblation,A,pi_error,0,nan,nan,nan,nan,nan,nan,nan
Exp07_OperatorAblation,A,final_n,15,5.933333333333334,2.9390636669006063,5.0,2.0,13.0,4.3057341251204875,7.56093254154618
Exp07_OperatorAblation,B,test_rmse,15,1179.3446957787403,952.6171947217205,1091.73802397918,24.2389179035217,2787.89823167353,651.8028771647616,1706.886514392719
Exp07_OperatorAblation,B,pi_error,2,2.13447813810334e-05,4.836503164094623e-06,2.13447813810334e-05,1.79248571964719e-05,2.47647055655949e-05,-2.210947549108062e-05,6.479903825314742e-05
Exp07_OperatorAblation,B,final_n,15,11.666666666666666,4.639375984311847,13.0,3.0,19.0,9.097465882176476,14.235867451156857
Exp07_OperatorAblation,C,test_rmse,12,1075.8337940126132,879.5692856617421,956.513700502057,22.002451223213,3351.70478218538,516.9821319982846,1634.685456026942
Exp07_OperatorAblation,C,pi_error,2,8.078825790398776e-06,9.852071986249479e-06,8.078825790398776e-06,1.11235888018375e-06,1.50452927006138e-05,-8.043852906037283e-05,9.659618064117038e-05
Exp07_OperatorAblation,C,final_n,15,17.8,7.3795083072751435,20.0,3.0,24.0,13.713364513608093,21.88663548639191
