factor_id,factor,seed,canonical,structural,k,pi_error,dense_val,final_val,test_loss,test_rmse,dense_n,final_n,dense_e,final_e,compression,terms,runtime_s,reason
f110,1.1,5,0,1,null,null,7.43855885665292E-06,8.64307788914593E-07,1.58281817579267E-06,444.805881226945,24,13,276,35,0.873188405797101,47,0.715786,non-canonical: square of degree>1 polynomial
f110,1.1,6,1,1,3.14170981633105,3.72940588345863E-05,5.71030619423263E-05,4.82232953111332E-09,6.91162158421522E-09,29.3930722794842,24,3,276,2,0.992753623188406,4,0.3129591,canonical A = b + k r^2
f110,1.1,7,1,1,3.14170372385699,3.53547641094314E-05,4.30351762505642E-05,5.61375493136413E-09,2.5348782120767E-09,17.8005555112606,24,3,276,2,0.992753623188406,4,0.3070252,canonical A = b + k r^2
f110,1.1,8,0,1,null,null,4.73319756171598E-05,4.30552494208249E-05,4.9750437128599E-05,2493.75312352183,24,8,276,15,0.945652173913043,22,0.3218667,non-canonical: square of degree>1 polynomial
f110,1.1,9,1,1,3.14164381008977,1.62836196860884E-05,9.74179209880019E-06,4.65974528041914E-09,5.07566223740839E-09,25.1884453604398,24,3,276,2,0.992753623188406,4,0.9373739,canonical A = b + k r^2
f110,1.1,10,1,1,3.14161287438867,6.43648018882939E-06,0.00010281821082121,2.89993760203192E-09,4.73991088484225E-09,24.3410940716564,24,3,276,2,0.992753623188406,4,0.2822671,canonical A = b + k r^2
f125,1.25,1,1,1,3.14159300378091,1.11469295299538E-07,4.7524029413909E-05,3.75795306516407E-09,2.89460552127445E-09,19.0217162779701,24,3,276,2,0.992753623188406,4,0.4678939,canonical A = b + k r^2
f125,1.25,2,1,1,3.14161966518143,8.59805665855086E-06,5.84591778960041E-05,3.19738594812974E-09,3.77623683116011E-09,21.7262422865752,24,3,276,2,0.992753623188406,4,0.459198,canonical A = b + k r^2
f125,1.25,3,0,1,null,null,2.66696968712143E-06,2.04843930722115E-07,1.20405739699572E-07,122.681365587635,24,9,276,15,0.945652173913043,23,0.6827833,non-canonical: square of degree>1 polynomial
f125,1.25,4,0,1,null,null,1.0006623572342E-06,1.23463694618782E-06,1.2052503853503E-06,388.14468715775,24,16,276,65,0.764492753623188,80,1.2194222,non-canonical: square of degree>1 polynomial
f125,1.25,5,1,1,3.141630842786,1.21559986991308E-05,7.43855885665292E-06,3.18175103051575E-09,2.67071174746976E-09,18.2712607237036,24,3,276,2,0.992753623188406,4,0.3132622,canonical A = b + k r^2
f125,1.25,6,1,1,3.14170981633105,3.72940588345863E-05,5.71030619423263E-05,4.82232953111332E-09,6.91162158421522E-09,29.3930722794842,24,3,276,2,0.992753623188406,4,0.3123952,canonical A = b + k r^2
f125,1.25,7,1,1,3.14170372385699,3.53547641094314E-05,4.30351762505642E-05,5.61375493136413E-09,2.5348782120767E-09,17.8005555112606,24,3,276,2,0.992753623188406,4,0.3081029,canonical A = b + k r^2
f125,1.25,8,0,1,null,null,4.73319756171598E-05,5.65200044219934E-05,5.19811846836393E-05,2549.04846667436,24,8,276,14,0.949275362318841,21,0.3350898,non-canonical: square of degree>1 polynomial
f125,1.25,9,1,1,3.14164381008977,1.62836196860884E-05,9.74179209880019E-06,4.65974528041914E-09,5.07566223740839E-09,25.1884453604398,24,3,276,2,0.992753623188406,4,0.9298366,canonical A = b + k r^2
f125,1.25,10,1,1,3.14161287438867,6.43648018882939E-06,0.00010281821082121,2.89993760203192E-09,4.73991088484225E-09,24.3410940716564,24,3,276,2,0.992753623188406,4,0.3040253,canonical A = b + k r^2
f150,1.5,1,0,1,null,null,4.7524029413909E-05,2.96550424771322E-05,2.00500836786391E-05,1583.11732345707,24,10,276,17,0.938405797101449,26,0.399493,non-canonical: square of degree>1 polynomial
f150,1.5,2,1,1,3.14168915835002,3.07184192450543E-05,5.84591778960041E-05,3.98713154146284E-09,4.01423255470943E-09,22.4004256508295,24,3,276,2,0.992753623188406,4,0.3435327,canonical A = b + k r^2
f150,1.5,3,0,1,null,null,2.66696968712143E-06,2.04843930722115E-07,1.20405739699572E-07,122.681365587635,24,9,276,15,0.945652173913043,23,0.682876,non-canonical: square of degree>1 polynomial
f150,1.5,4,0,1,null,null,1.0006623572342E-06,1.03724917141025E-06,9.49104546567592E-07,344.438772963999,24,16,276,53,0.807971014492754,68,1.5536592,non-canonical: square of degree>1 polynomial
f150,1.5,5,1,1,3.141630842786,1.21559986991308E-05,7.43855885665292E-06,3.18175103051575E-09,2.67071174746976E-09,18.2712607237036,24,3,276,2,0.992753623188406,4,0.3099365,canonical A = b + k r^2
