problem,noise,seed,structure_ok,canonical,max_rel_err,test_rmse,test_acc,dense_n,pruned_n,dense_e,pruned_e,fidelity_max,reason
S2,0.02,6,1,1,0.0101984169113709,0.0218563851891507,null,24,3,276,2,8.88178419700125E-15,polynomial reduced; structure OK
S2,0.02,7,1,1,0.00252196211031119,0.0204415260497673,null,24,3,276,2,5.77315972805081E-15,polynomial reduced; structure OK
S2,0.02,8,1,1,0.00394861489958792,0.0215350135150491,null,24,3,276,2,6.66133814775094E-15,polynomial reduced; structure OK
S2,0.02,9,1,1,0.00981463624898565,0.0224777688050558,null,24,3,276,2,5.32907051820075E-15,polynomial reduced; structure OK
S2,0.02,10,1,1,0.00435826700163428,0.0225065268246962,null,24,3,276,2,1.33226762955019E-15,polynomial reduced; structure OK
S2,0.05,1,1,1,0.0197561063806734,0.0472356732543551,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0.05,2,1,1,0.0345036132335171,0.0574437000331356,null,24,3,276,2,1.55431223447522E-15,polynomial reduced; structure OK
S2,0.05,3,1,1,0.0183284217416579,0.0493362951863618,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0.05,4,1,1,0.0154414795546098,0.05587116814501,null,24,3,276,2,4.44089209850063E-15,polynomial reduced; structure OK
S2,0.05,5,1,1,0.0275905548007266,0.0491842879284498,null,24,3,276,2,8.88178419700125E-16,polynomial reduced; structure OK
S2,0.05,6,1,1,0.0260808654941859,0.051297069368892,null,24,3,276,2,7.54951656745106E-15,polynomial reduced; structure OK
S2,0.05,7,1,1,0.00673489167498098,0.0477885635896208,null,24,3,276,2,3.5527136788005E-15,polynomial reduced; structure OK
S2,0.05,8,1,1,0.0411885106849193,0.0525737256324025,null,24,3,276,2,1.33226762955019E-15,polynomial reduced; structure OK
S2,0.05,9,1,1,0.0331529121944024,0.0552032191745829,null,24,3,276,2,4.88498130835069E-15,polynomial reduced; structure OK
S2,0.05,10,1,1,0.0371278317655552,0.0538953850689539,null,24,3,276,2,1.04360964314765E-14,polynomial reduced; structure OK
S2,0.1,1,1,1,0.0186155008788078,0.108930225743198,null,24,3,276,2,1.11022302462516E-15,polynomial reduced; structure OK
S2,0.1,2,1,1,0.0507021533019167,0.0988590934337156,null,24,3,276,2,9.10382880192628E-15,polynomial reduced; structure OK
S2,0.1,3,1,1,0.079362819939766,0.101506949303242,null,24,3,276,2,2.44249065417534E-15,polynomial reduced; structure OK
S2,0.1,4,1,1,0.0978216761711576,0.100261047608515,null,24,3,276,2,3.10862446895044E-15,polynomial reduced; structure OK
S2,0.1,5,1,1,0.0975022769643899,0.104939327134001,null,24,3,276,2,7.54951656745106E-15,polynomial reduced; structure OK
S2,0.1,6,1,1,0.0287092099489372,0.106202791038492,null,24,3,276,2,2.44249065417534E-15,polynomial reduced; structure OK
S2,0.1,7,1,1,0.0387100038690323,0.0938681931898615,null,24,3,276,2,8.88178419700125E-16,polynomial reduced; structure OK
S2,0.1,8,1,1,0.0200993468192387,0.113766351595838,null,24,3,276,2,3.10862446895044E-15,polynomial reduced; structure OK
S2,0.1,9,1,1,0.0714224566573031,0.110027964573234,null,24,3,276,2,4.66293670342566E-15,polynomial reduced; structure OK
S2,0.1,10,1,1,0.0139853732878923,0.0906031468197979,null,24,3,276,2,5.77315972805081E-15,polynomial reduced; structure OK
S3,0,1,1,1,1.26121335597418E-13,1.47046782662864E-14,null,24,3,276,3,3.10862446895044E-15,polynomial reduced; structure OK
S3,0,2,1,1,2.96059473233375E-14,3.99707523933732E-15,null,24,3,276,3,2.66453525910038E-15,polynomial reduced; structure OK
S3,0,3,1,1,1.80596278672359E-13,2.14154538630985E-14,null,24,3,276,3,4.44089209850063E-16,polynomial reduced; structure OK
S3,0,4,1,1,9.50350909079134E-14,1.09990152358173E-14,null,24,3,276,3,3.5527136788005E-15,polynomial reduced; structure OK
S3,0,5,1,1,7.61295788314393E-15,2.54959616730534E-15,null,24,3,276,3,5.32907051820075E-15,polynomial reduced; structure OK
S3,0,6,1,1,1.34114941374719E-13,1.48630175021625E-14,null,24,3,276,3,3.5527136788005E-15,polynomial reduced; structure OK
S3,0,7,1,1,3.04941257430376E-14,3.22618370995975E-15,null,24,3,276,3,9.99200722162641E-16,polynomial reduced; structure OK
S3,0,8,1,1,3.46389583683049E-14,5.46708033189659E-15,null,24,3,276,3,3.10862446895044E-15,polynomial reduced; structure OK
S3,0,9,1,1,3.11750625314744E-13,3.43081604149307E-14,null,24,3,276,3,1.55431223447522E-15,polynomial reduced; structure OK
S3,0,10,1,1,2.1582735598713E-13,2.26792193449306E-14,null,24,3,276,3,7.54951656745106E-15,polynomial reduced; structure OK
S3,0.01,1,1,1,0.00120733630679088,0.0109560367631121,null,24,3,276,3,1.33226762955019E-15,polynomial reduced; structure OK
S3,0.01,2,1,1,0.000982850169740804,0.00957175358219214,null,24,3,276,3,3.5527136788005E-15,polynomial reduced; structure OK
S3,0.01,3,1,1,0.0342015444298949,0.0120249373397678,null,24,3,276,3,3.99680288865056E-15,polynomial reduced; structure OK
S3,0.01,4,1,1,0.00107558061169799,0.0106096765408838,null,24,3,276,3,4.88498130835069E-15,polynomial reduced; structure OK
S3,0.01,5,1,1,0.000841983372333574,0.00861581139187738,null,24,3,276,3,3.10862446895044E-15,polynomial reduced; structure OK
S3,0.01,6,1,1,0.00504793505495904,0.0092910289535524,null,24,3,276,3,4.88498130835069E-15,polynomial reduced; structure OK
S3,0.01,7,1,1,0.00859017035422986,0.0102012433632073,null,24,3,276,3,8.88178419700125E-15,polynomial reduced; structure OK
S3,0.01,8,1,1,0.00304527403028695,0.00914297129914895,null,24,3,276,3,3.5527136788005E-15,polynomial reduced; structure OK
S3,0.01,9,1,1,0.028935484198365,0.0124240433306961,null,24,4,276,5,5.32907051820075E-15,polynomial reduced; structure OK
S3,0.01,10,1,1,0.00122591815142196,0.01012074763286,null,24,3,276,3,7.105427357601E-15,polynomial reduced; structure OK
S3,0.02,1,1,1,0.198500449529387,0.036060349542817,null,24,3,276,3,4.44089209850063E-15,polynomial reduced; structure OK
S3,0.02,2,1,1,0.002823093227172,0.0196333437402971,null,24,3,276,3,3.10862446895044E-15,polynomial reduced; structure OK
S3,0.02,3,1,1,0.0283521859593029,0.0216596148347997,null,24,3,276,3,1.33226762955019E-15,polynomial reduced; structure OK
S3,0.02,4,1,1,0.115288495046142,0.0233083807391885,null,24,4,276,5,7.99360577730113E-15,polynomial reduced; structure OK
S3,0.02,5,1,1,0.00350205134160101,0.018889749967946,null,24,3,276,3,6.21724893790088E-15,polynomial reduced; structure OK
S3,0.02,6,1,1,0.0144678437926086,0.0195451003109949,null,24,3,276,3,1.77635683940025E-15,polynomial reduced; structure OK
S3,0.02,7,1,1,0.0149492932397589,0.0188138013559541,null,24,3,276,3,4.88498130835069E-15,polynomial reduced; structure OK
S3,0.02,8,1,1,0.00627428348090457,0.0191604518156078,null,24,3,276,3,2.22044604925031E-15,polynomial reduced; structure OK
S3,0.02,9,1,1,0.215028390711185,0.0334071316677826,null,24,3,276,3,2.66453525910038E-15,polynomial reduced; structure OK
S3,0.02,10,1,1,0.0206293355538656,0.0238943224050869,null,24,3,276,3,2.66453525910038E-15,polynomial reduced; structure OK
S3,0.05,1,1,1,0.142970212941081,0.0592357560366342,null,24,4,276,5,4.44089209850063E-15,polynomial reduced; structure OK
S3,0.05,2,1,1,0.00645121617770084,0.0490609345772743,null,24,3,276,3,8.88178419700125E-16,polynomial reduced; structure OK
S3,0.05,3,1,1,0.0140722846731315,0.0496024358682958,null,24,3,276,3,2.22044604925031E-15,polynomial reduced; structure OK
S3,0.05,4,1,1,0.100616723873655,0.0524934219380486,null,24,3,276,3,5.77315972805081E-15,polynomial reduced; structure OK
S3,0.05,5,1,1,0.146788055475279,0.053417451130074,null,24,3,276,3,1.06581410364015E-14,polynomial reduced; structure OK
S3,0.05,6,1,1,0.0968244103564631,0.0572049172649289,null,24,3,276,3,2.1094237467878E-15,polynomial reduced; structure OK
S3,0.05,7,1,1,0.102998416988723,0.0574590378875691,null,24,3,276,3,2.66453525910038E-15,polynomial reduced; structure OK
S3,0.05,8,1,1,0.0143449010823197,0.049285964650985,null,24,3,276,3,4.88498130835069E-15,polynomial reduced; structure OK
S3,0.05,9,1,1,0.00426430371569027,0.0489166458939713,null,24,3,276,3,6.66133814775094E-15,polynomial reduced; structure OK
S3,0.05,10,1,1,0.0465400209774246,0.0536404183033284,null,24,3,276,3,4.44089209850063E-15,polynomial reduced; structure OK
S3,0.1,1,1,1,0.0217547471292579,0.1093831558695,null,24,3,276,3,2.22044604925031E-15,polynomial reduced; structure OK
S3,0.1,2,1,1,0.115934900499302,0.0972119489953888,null,24,3,276,3,7.105427357601E-15,polynomial reduced; structure OK
S3,0.1,3,1,1,0.00886400185486647,0.10853325170001,null,24,3,276,3,3.10862446895044E-15,polynomial reduced; structure OK
S3,0.1,4,1,1,0.0976989980134584,0.105004947714004,null,24,4,276,5,9.76996261670138E-15,polynomial reduced; structure OK
S3,0.1,5,1,1,0.217814315226542,0.101817915624003,null,24,3,276,3,1.33226762955019E-15,polynomial reduced; structure OK
S3,0.1,6,1,1,0.0926739907075461,0.102160543088595,null,24,3,276,3,3.5527136788005E-15,polynomial reduced; structure OK
S3,0.1,7,1,1,0.112307311341906,0.11334026085981,null,24,3,276,3,9.76996261670138E-15,polynomial reduced; structure OK
S3,0.1,8,1,1,0.22926347272929,0.103693037006049,null,24,3,276,3,1.33226762955019E-15,polynomial reduced; structure OK
S3,0.1,9,1,1,0.193423089165496,0.110992662283389,null,24,3,276,3,5.32907051820075E-15,polynomial reduced; structure OK
S3,0.1,10,1,1,0.132432891288577,0.0979129356963759,null,24,3,276,3,7.99360577730113E-15,polynomial reduced; structure OK
