task,hidden,seed,canonical,structural,k,pi_error,a,b,rel_ab,R_hat,test_metric,dense_val,final_val,dense_n,final_n,dense_e,final_e,pass_e,runtime_s,reason
area,12,1,1,1,3.1416381953755,1.44964006234587E-05,0,0,0,0,17.7697754245335,2.01924613747831E-06,3.61940497829378E-09,14,3,91,2,1,0.2577785,canonical A = b + k r^2
area,12,2,1,1,3.14172672027821,4.26747523315055E-05,0,0,0,0,21.3306209920382,7.8563392300524E-05,3.54685218463228E-09,14,3,91,2,0,0.1794961,canonical A = b + k r^2
area,12,3,1,1,3.14160366552663,3.50520836169097E-06,0,0,0,0,22.5671684819785,5.63506064726002E-05,3.59651311977431E-09,14,3,91,2,0,0.1627733,canonical A = b + k r^2
area,12,4,1,1,3.14161901277048,8.3903878032627E-06,0,0,0,0,22.4544968883613,1.60796770718766E-05,3.35697233294481E-09,14,3,91,2,0,0.1290713,canonical A = b + k r^2
area,12,5,0,1,null,null,0,0,0,0,null,null,null,14,14,91,91,0,3.2784154,non-canonical: sigmoid on path and active (non-finite y_nn or y_poly)
area,12,6,1,1,3.14170394508419,3.54251829137552E-05,0,0,0,0,24.5865139452175,2.42338006962172E-05,3.08304938291521E-09,14,3,91,2,0,0.1208722,canonical A = b + k r^2
area,12,7,1,1,3.14164463863763,1.65473546592966E-05,0,0,0,0,17.6019667500188,9.90202366050272E-05,5.51735478782115E-09,14,3,91,2,0,0.2808922,canonical A = b + k r^2
area,12,8,1,1,3.14163352141319,1.30086322142075E-05,0,0,0,0,17.7918699568471,1.92780909001822E-05,3.79127471078292E-09,14,3,91,2,1,0.2245743,canonical A = b + k r^2
area,12,9,1,1,3.14167553395749,2.63816404067684E-05,0,0,0,0,17.32822268263,1.78505972049362E-05,2.38351996530234E-09,14,3,91,2,0,0.331227,canonical A = b + k r^2
area,12,10,1,1,3.1416461361056,1.70240135205334E-05,0,0,0,0,23.4259726023255,7.53333500869799E-05,2.3636332639816E-09,14,3,91,2,1,0.4107471,canonical A = b + k r^2
area,22,1,1,1,3.14159300378091,1.11469295299538E-07,0,0,0,0,19.0217162779701,4.7524029413909E-05,3.75795306516407E-09,24,3,276,2,0,0.8288159,canonical A = b + k r^2
area,22,2,1,1,3.14161966518143,8.59805665855086E-06,0,0,0,0,21.7262422865752,5.84591778960041E-05,3.19738594812974E-09,24,3,276,2,0,0.8411762,canonical A = b + k r^2
area,22,3,1,1,3.14161779820321,8.00377903580705E-06,0,0,0,0,21.5443306362405,2.66696968712143E-06,3.54695869293982E-09,24,3,276,2,1,1.3057776,canonical A = b + k r^2
area,22,4,1,1,3.14165096404519,1.85607944217524E-05,0,0,0,0,20.6592879984641,1.0006623572342E-06,3.22175486181529E-09,24,3,276,2,1,2.0942527,canonical A = b + k r^2
area,22,5,1,1,3.14164433504776,1.64507190034192E-05,0,0,0,0,17.9852344955585,7.43855885665292E-06,3.135922209112E-09,24,3,276,2,1,1.3714408,canonical A = b + k r^2
area,22,6,1,1,3.14170981633105,3.72940588345863E-05,0,0,0,0,29.3930722794842,5.71030619423263E-05,4.82232953111332E-09,24,3,276,2,0,0.5658956,canonical A = b + k r^2
area,22,7,1,1,3.14170372385699,3.53547641094314E-05,0,0,0,0,17.8005555112606,4.30351762505642E-05,5.61375493136413E-09,24,3,276,2,0,0.6639303,canonical A = b + k r^2
area,22,8,1,1,3.14163352141319,1.30086322142075E-05,0,0,0,0,17.7918699568471,4.73319756171598E-05,3.79127471078292E-09,24,3,276,2,1,0.6068946,canonical A = b + k r^2
area,22,9,1,1,3.14164381008977,1.62836196860884E-05,0,0,0,0,25.1884453604398,9.74179209880019E-06,4.65974528041914E-09,24,3,276,2,0,1.8442051,canonical A = b + k r^2
area,22,10,1,1,3.14161287438867,6.43648018882939E-06,0,0,0,0,24.3410940716564,0.00010281821082121,2.89993760203192E-09,24,3,276,2,0,0.5181603,canonical A = b + k r^2
area,36,1,1,1,3.14162426374226,1.00618240337753E-05,0,0,0,0,19.8525084523876,2.04002420806838E-05,3.8273792653626E-09,38,3,703,2,0,1.2969112,canonical A = b + k r^2
area,36,2,1,1,3.14164976470255,1.81790318015711E-05,0,0,0,0,21.1707862426929,2.44983436018616E-05,3.1426589742988E-09,38,3,703,2,1,4.0582006,canonical A = b + k r^2
area,36,3,1,1,3.14162719750183,1.0995668709706E-05,0,0,0,0,23.0384225876092,2.06129581178443E-05,3.15251008967524E-09,38,3,703,2,0,1.3140275,canonical A = b + k r^2
area,36,4,1,1,3.14167286036471,2.55306093933884E-05,0,0,0,0,21.2056285359225,3.04078687033048E-05,3.50226930932198E-09,38,3,703,2,0,2.1543587,canonical A = b + k r^2
area,36,5,1,1,3.14162609592201,1.06450249613688E-05,0,0,0,0,24.9046933582897,8.0236090978059E-05,5.00837821742723E-09,38,3,703,2,0,1.3107672,canonical A = b + k r^2
area,36,6,1,1,3.14175058077417,5.0269784083809E-05,0,0,0,0,26.3821561860963,8.44424171844514E-05,3.48135656808245E-09,38,3,703,2,0,1.49672,canonical A = b + k r^2
area,36,7,1,1,3.14165026328409,1.83377352351217E-05,0,0,0,0,17.261487532142,2.53347937590076E-06,4.33426759887961E-09,38,3,703,2,1,4.2289503,canonical A = b + k r^2
area,36,8,1,1,3.14163829708845,1.45287768618646E-05,0,0,0,0,17.6784161143386,2.02202095408891E-05,3.6860997822938E-09,38,3,703,2,0,2.4753855,canonical A = b + k r^2
area,36,9,1,1,3.14164948481253,1.80899400411452E-05,0,0,0,0,16.9121957469782,2.96471963835164E-05,2.31869988842907E-09,38,3,703,2,1,1.3963226,canonical A = b + k r^2
area,36,10,1,1,3.14165770104647,2.07052485314055E-05,0,0,0,0,23.9389809046155,0.000100261604077598,2.46472822751527E-09,38,3,703,2,0,1.4488247,canonical A = b + k r^2
area,50,1,1,1,3.1416381953755,1.44964006234587E-05,0,0,0,0,17.7697754245335,5.93353280297507E-06,3.61940497829378E-09,52,3,1326,2,1,8.6044625,canonical A = b + k r^2
area,50,2,1,1,3.14164976470255,1.81790318015711E-05,0,0,0,0,21.1707862426929,1.66311224684871E-06,3.1426589742988E-09,52,3,1326,2,1,10.5447608,canonical A = b + k r^2
area,50,3,1,1,3.14161779820321,8.00377903580705E-06,0,0,0,0,21.5443306362405,1.78876452041616E-05,3.54695869293982E-09,52,3,1326,2,1,17.1704747,canonical A = b + k r^2
area,50,4,1,1,3.14162461056736,1.01722218929334E-05,0,0,0,0,21.4300600900666,2.69588627405824E-05,3.14022743669685E-09,52,3,1326,2,0,2.4301797,canonical A = b + k r^2
area,50,5,1,1,3.14157341077523,6.12517811428877E-06,0,0,0,0,26.6185380412475,5.94120881271758E-05,5.12106046397005E-09,52,3,1326,2,0,2.5509561,canonical A = b + k r^2
area,50,6,1,1,3.14170735215176,3.6509686205124E-05,0,0,0,0,29.0929630679474,0.000146325826708298,4.71567715877743E-09,52,3,1326,2,0,2.4096426,canonical A = b + k r^2
area,50,7,1,1,3.14165233503169,1.89971929777827E-05,0,0,0,0,17.0953934098087,6.80208969912993E-05,4.40504553095099E-09,52,3,1326,2,0,2.2232378,canonical A = b + k r^2
area,50,8,1,1,3.14165326700614,1.92938496569279E-05,0,0,0,0,17.6600254638018,3.14480482930046E-05,3.52106387221092E-09,52,3,1326,2,0,2.4221441,canonical A = b + k r^2
area,50,9,1,1,3.14162449489847,1.01354033408675E-05,0,0,0,0,17.224052194255,1.59990640413481E-05,2.22806589655338E-09,52,3,1326,2,0,9.3769742,canonical A = b + k r^2
area,50,10,1,1,3.14165758219456,2.06674167947038E-05,0,0,0,0,23.8941153558087,0.000114897190578164,2.45050278838097E-09,52,3,1326,2,0,2.6166677,canonical A = b + k r^2
circle,8,1,1,1,null,0,5.64219096830338,5.93226193419794,0.05012262235425,null,0.980132450331126,0.00364676913445223,0.00347267794696075,11,11,54,40,0,1.1395833,canonical centred quadratic h with a~b
circle,8,2,1,1,null,0,-9.57948320085481,-9.57948320085481,0,0.199339530449697,0.927152317880795,0.00907214446242297,0.0449362940149766,11,4,54,3,1,1.1815903,canonical centred quadratic h with a~b
circle,8,3,1,1,null,0,-9.48360758198641,-9.48360758198641,0,0.198836782075932,0.897350993377483,0.00595473374216006,0.0461372363648515,11,4,54,3,1,1.0919427,canonical centred quadratic h with a~b
circle,8,4,1,1,null,0,-9.70738385308375,-9.70738385308375,0,0.204011329917603,0.927152317880795,0.00871403178779123,0.0469109501401313,11,4,54,3,1,1.1324235,canonical centred quadratic h with a~b
circle,8,5,1,1,null,0,-5.03260721759033,-5.53270299952472,0.094667505573905,null,0.980132450331126,0.0059056486983639,0.00535297398729049,11,11,54,41,0,1.0838489,canonical centred quadratic h with a~b
circle,8,6,1,1,null,0,8.59104175864223,8.0670201911735,0.0629150700780685,0.253510841068282,0.996688741721854,0.0107572651709297,0.00581746123224216,11,5,54,4,0,1.0477949,canonical centred quadratic h with a~b
circle,8,7,1,1,null,0,-9.51358224776926,-9.51358224776926,0,0.199432084083992,0.923841059602649,0.00441515094640773,0.0437946681890881,11,4,54,3,1,1.1710442,canonical centred quadratic h with a~b
circle,8,8,1,1,null,0,-9.71967561384844,-9.71967561384844,0,0.201905584462611,0.917218543046358,0.00398532080151033,0.042413805573879,11,4,54,3,1,1.062151,canonical centred quadratic h with a~b
circle,8,9,1,1,null,0,-9.57304011156109,-9.57304011156109,0,0.203140283693347,0.913907284768212,0.015308231591869,0.0454214898548802,11,4,54,3,1,1.180589,canonical centred quadratic h with a~b
circle,8,10,1,1,null,0,6.98378828312143,6.94290618004221,0.00587104185955241,null,0.983443708609272,0.011344072052327,0.008829144361019,11,11,54,42,0,1.1853083,canonical centred quadratic h with a~b
circle,12,1,1,1,null,0,-6.12312799750889,-6.11051716870722,0.0020616633277048,0.381166925374309,0.983443708609272,0.00326627987993559,0.00326627987993559,15,15,104,104,0,1.9428693,canonical centred quadratic h with a~b
circle,12,2,1,1,null,0,-9.57948320085481,-9.57948320085481,0,0.199339530449697,0.927152317880795,0.00883746167242655,0.0449362940149766,15,4,104,3,1,1.8413127,canonical centred quadratic h with a~b
circle,12,3,1,1,null,0,-9.48360758198641,-9.48360758198641,0,0.198836782075932,0.897350993377483,0.00832075318674334,0.0461372363648515,15,4,104,3,1,2.3907658,canonical centred quadratic h with a~b
circle,12,4,1,1,null,0,2.26706232742212,2.237503931221,0.0131237479943396,0.244454896459456,0.966887417218543,0.00880840719477987,0.00913106732261856,15,8,104,18,0,1.8946167,canonical centred quadratic h with a~b
circle,12,5,1,1,null,0,-9.68187545474149,-9.68187545474149,0,0.20572148869237,0.933774834437086,0.0153090297339591,0.0467805718947274,15,4,104,3,1,1.8428822,canonical centred quadratic h with a~b
circle,12,6,1,1,null,0,-9.49666943858709,-9.49666943858709,0,0.198103791121639,0.923841059602649,0.010775082862652,0.0463850070949379,15,4,104,3,1,1.8589135,canonical centred quadratic h with a~b
circle,12,7,1,1,null,0,-9.51358224776926,-9.51358224776926,0,0.199432084083992,0.923841059602649,0.0076673402492201,0.0437946681890881,15,4,104,3,1,1.9280334,canonical centred quadratic h with a~b
circle,12,8,1,1,null,0,-9.71967561384844,-9.71967561384844,0,0.201905584462611,0.917218543046358,0.00355952636420609,0.042413805573879,15,4,104,3,1,1.9425996,canonical centred quadratic h with a~b
circle,12,9,1,1,null,0,-9.57304011156109,-9.57304011156109,0,0.203140283693347,0.913907284768212,0.0103372398153646,0.0454214898548802,15,4,104,3,1,1.8426701,canonical centred quadratic h with a~b
circle,12,10,1,1,null,0,-9.5066209764129,-9.5066209764129,0,0.198179388559902,0.917218543046358,0.00684631453471627,0.0456485373974201,15,4,104,3,1,1.8304183,canonical centred quadratic h with a~b
circle,22,1,1,1,null,0,-9.51693738142721,-9.51693738142721,0,0.202904133561105,0.933774834437086,0.00289824571819264,0.0459818411985284,25,4,299,3,1,5.3362301,canonical centred quadratic h with a~b
circle,22,2,1,1,null,0,-9.57948320085481,-9.57948320085481,0,0.199339530449697,0.927152317880795,0.00591312486450229,0.0449362940149766,25,4,299,3,1,4.7647554,canonical centred quadratic h with a~b
circle,22,3,1,1,null,0,-9.48360758198641,-9.48360758198641,0,0.198836782075932,0.897350993377483,0.00754406371820734,0.0461372363648515,25,4,299,3,1,4.718749,canonical centred quadratic h with a~b
circle,22,4,1,1,null,0,-9.70738385308375,-9.70738385308375,0,0.204011329917603,0.927152317880795,0.00823003183400469,0.0469109501401313,25,4,299,3,1,4.6980275,canonical centred quadratic h with a~b
circle,22,5,1,1,null,0,-9.68187545474149,-9.68187545474149,0,0.20572148869237,0.933774834437086,0.00623626114838879,0.0467805718947274,25,4,299,3,1,4.7641056,canonical centred quadratic h with a~b
circle,22,6,1,1,null,0,-9.49666943858709,-9.49666943858709,0,0.198103791121639,0.923841059602649,0.00877846336224334,0.0463850070949379,25,4,299,3,1,4.7110472,canonical centred quadratic h with a~b
circle,22,7,1,1,null,0,-9.51358224776926,-9.51358224776926,0,0.199432084083992,0.923841059602649,0.00621192822442272,0.0437946681890881,25,4,299,3,1,4.7786121,canonical centred quadratic h with a~b
circle,22,8,1,1,null,0,-9.71967561384844,-9.71967561384844,0,0.201905584462611,0.917218543046358,0.00305577774236388,0.042413805573879,25,4,299,3,1,5.1638313,canonical centred quadratic h with a~b
circle,22,9,1,1,null,0,-1.10021457272203,-1.02330871111378,0.0724323224460576,0.252100525291416,0.980132450331126,0.0143339014828664,0.0072826205981419,25,9,299,20,0,4.7969314,canonical centred quadratic h with a~b
circle,22,10,1,1,null,0,-9.5066209764129,-9.5066209764129,0,0.198179388559902,0.917218543046358,0.0101656918168731,0.0456485373974201,25,4,299,3,1,5.0715507,canonical centred quadratic h with a~b
circle,36,1,1,1,null,0,-0.37831479625549,-0.416407066365682,0.095863148862057,null,0.983443708609272,0.00329842869502484,0.00249127289310491,39,39,740,645,0,13.2244824,canonical centred quadratic h with a~b
circle,36,2,1,1,null,0,-9.57948320085481,-9.57948320085481,0,0.199339530449697,0.927152317880795,0.00553830362992648,0.0449362940149766,39,4,740,3,1,11.2780592,canonical centred quadratic h with a~b
circle,36,3,1,1,null,0,-9.48360758198641,-9.48360758198641,0,0.198836782075932,0.897350993377483,0.00777376568944286,0.0461372363648515,39,4,740,3,1,10.7386416,canonical centred quadratic h with a~b
circle,36,4,1,1,null,0,-9.70738385308375,-9.70738385308375,0,0.204011329917603,0.927152317880795,0.00831083612134615,0.0469109501401313,39,4,740,3,1,11.1927987,canonical centred quadratic h with a~b
circle,36,5,1,1,null,0,-9.68187545474149,-9.68187545474149,0,0.20572148869237,0.933774834437086,0.0115436478051296,0.0467805718947274,39,4,740,3,1,10.9335588,canonical centred quadratic h with a~b
circle,36,6,1,1,null,0,-9.49666943858709,-9.49666943858709,0,0.198103791121639,0.923841059602649,0.0110405671392718,0.0463850070949379,39,4,740,3,1,11.1352197,canonical centred quadratic h with a~b
circle,36,7,1,1,null,0,-9.51358224776926,-9.51358224776926,0,0.199432084083992,0.923841059602649,0.096989966555184,0.0437946681890881,39,4,740,3,1,10.7310164,canonical centred quadratic h with a~b
circle,36,8,1,1,null,0,-9.71967561384844,-9.71967561384844,0,0.201905584462611,0.917218543046358,0.00271807337312107,0.042413805573879,39,4,740,3,1,11.0152081,canonical centred quadratic h with a~b
circle,36,9,1,1,null,0,-9.57304011156109,-9.57304011156109,0,0.203140283693347,0.913907284768212,0.0969899656153369,0.0454214898548802,39,4,740,3,1,11.2878279,canonical centred quadratic h with a~b
circle,36,10,1,1,null,0,-9.5066209764129,-9.5066209764129,0,0.198179388559902,0.917218543046358,0.00478146262327947,0.0456485373974201,39,4,740,3,1,11.8298314,canonical centred quadratic h with a~b
circle,50,1,1,1,null,0,-0.502917262160997,-0.515670029339319,0.0250401065961416,null,0.986754966887417,0.00403848329855021,0.00373180510724904,53,53,1377,902,0,24.1138607,canonical centred quadratic h with a~b
circle,50,2,1,1,null,0,-9.57948320085481,-9.57948320085481,0,0.199339530449697,0.927152317880795,0.00640748218440368,0.0449362940149766,53,4,1377,3,1,10.4729834,canonical centred quadratic h with a~b
circle,50,3,1,1,null,0,-9.48360758198641,-9.48360758198641,0,0.198836782075932,0.897350993377483,0.00630559776358118,0.0461372363648515,53,4,1377,3,1,9.466032,canonical centred quadratic h with a~b
circle,50,4,1,1,null,0,-9.70738385308375,-9.70738385308375,0,0.204011329917603,0.927152317880795,0.096989966555184,0.0469109501401313,53,4,1377,3,1,8.670375,canonical centred quadratic h with a~b
circle,50,5,1,1,null,0,-9.68187545474149,-9.68187545474149,0,0.20572148869237,0.933774834437086,0.0969899715079804,0.0467805718947274,53,4,1377,3,1,9.3983129,canonical centred quadratic h with a~b
circle,50,6,1,1,null,0,-9.49666943858709,-9.49666943858709,0,0.198103791121639,0.923841059602649,0.00863998815040913,0.0463850070949379,53,4,1377,3,1,10.178407,canonical centred quadratic h with a~b
circle,50,7,1,1,null,0,-9.51358224776926,-9.51358224776926,0,0.199432084083992,0.923841059602649,0.00661514526676538,0.0437946681890881,53,4,1377,3,1,10.5865469,canonical centred quadratic h with a~b
circle,50,8,1,1,null,0,-9.71967561384844,-9.71967561384844,0,0.201905584462611,0.917218543046358,0.096989966555184,0.042413805573879,53,4,1377,3,1,8.6261199,canonical centred quadratic h with a~b
circle,50,9,1,1,null,0,-9.57304011156109,-9.57304011156109,0,0.203140283693347,0.913907284768212,0.00938614359495454,0.0454214898548802,53,4,1377,3,1,9.0794764,canonical centred quadratic h with a~b
circle,50,10,1,1,null,0,-9.5066209764129,-9.5066209764129,0,0.198179388559902,0.917218543046358,0.096989966555184,0.0456485373974201,53,4,1377,3,1,8.8598374,canonical centred quadratic h with a~b
